Country,Income share held by second 20%,Income share held by third 20%,Income share held by fourth 20%,Income share held by highest 20%,Income share held by highest 10%,Income share held by lowest 10%,Income share held by lowest 20%,Poverty headcount ratio at $2 a day (PPP) (% of population),Poverty headcount ratio at $1.25 a day (PPP) (% of population),Poverty gap at $2 a day (PPP) (%),Poverty gap at $1.25 a day (PPP) (%),GINI index,Poverty gap at national poverty line (%),Poverty headcount ratio at national poverty line (% of population),Poverty gap at rural poverty line (%),Poverty headcount ratio at rural poverty line (% of rural population),Poverty gap at urban poverty line (%),Poverty headcount ratio at urban poverty line (% of urban population)
Country Code
AFG,13.61,17.37,22.14,37.48,23.21,4.8,9.4,,,,,27.82,7.9,36,8.3,37.5,6.2,29
ALB,12.5,15.85,2.94,43.2,28.99,3.53,8.14,4.25,0.62,0.85,0.19,34.51,2.3,12.4,2.6,14.6,1.9,1.1
DZA
ASM
AND
AGO,5.66,1.79,19.69,61.86,44.74,0.6,2,7.21,54.31,42.35,29.94,58.64,,,,,,62.3
ATG
ARG,9.31,14.78,22.17,49.36,32.3,1.46,4.38,1.87,0.92,0.92,0.65,44.49,,,,,,6.5
ARM,12.81,16.68,21.93,39.8,25.4,3.74,8.78,12.43,1.28,2.27,0.25,3.86,7.8,35.8,7.3,36,8,36
ABW
AUS
AUT,13.33,17.44,22.88,37.79,23.5,3.34,8.56,,,,,29.15
AZE,12.9,16.16,21.68,42.8,27.37,3.43,7.99,2.81,0.43,0.57,0.14,33.71,2,15.8,,18.5,,14.8
BHS,,,,,,,,,,,,,,9.3
BHR
BGD,12.37,16.7,21.27,41.41,27.3,3.99,8.88,76.54,43.25,3.35,11.17,32.12,6.54,31.51,7.35,35.16,4.28,21.28
BRB
BLR,13.77,17.82,22.89,36.35,21.9,3.8,9.17,0.19,0.1,0.12,0.1,27.22,,5.4
BEL,12.98,16.31,2.83,41.38,28.6,3.42,8.5,,,,,32.97
BLZ,,,,,,,,,,,,,,33.5,,44.2,,23.7
BEN,1.84,15.3,21.3,46.11,31.24,3,6.99,75.32,47.33,33.5,15.73,38.62,9.5,33.3,1.1,36.1,8.5,28.3
BMU
BTN,1.79,15.38,22.4,45.15,29.36,2.8,6.64,29.76,1.22,8.53,1.81,38.6,6.1,23.2,8.1,3.9,0.4,1.7
BOL,6.8,11.91,19.85,59.31,43.28,0.45,2.13,24.89,15.61,13.5,8.64,56.29,24.59632,51.3,39.33736,66.4,17.2839,43.5
BIH,11.31,16.12,22.74,43.18,27.25,2.71,6.65,0.19,0.4,0.5,0.2,36.21,,14,,17.8,,8.2
BWA,,,,,,,,,,,,,11.7,3.6,18.4,44.8,6.5,19.4
BRA,7.13,12.41,19.4,58.57,42.93,0.77,2.85,1.82,6.14,5.4,3.62,54.69,,21.4
BRN
BGR,13.74,17.94,23.8,36.74,22.17,3.28,8.5,0.41,2.64,0.1,0.48,28.19,3,1.6
BFA,1.58,14.79,2.87,47.4,32.16,2.87,6.72,72.56,44.6,31.73,14.66,39.79,15.1,46.7,17.4,52.6,7.8,27.9
BDI,11.86,15.43,21,42.75,28.4,4.14,8.96,93.45,81.32,56.6,36.39,33.27,23.4,66.9,24.2,68.9,1.3,34
